PUBLICATION_ID,PUBLICATION_TITLE,CONTENT,PUBLICATION_DATE
10-whoop-features-you-need-to-know,10 Hidden WHOOP Features You Need to Know,"## 10 Hidden WHOOP FEATURES
### 1. Set a Haptic Alarm
### Find it in the Sleep and Strain Target under the plan tab
WHOOP uses a vibrating, silent haptic alarm to wake you up when you’ve hit your sleep goal, or at the gym when you’ve hit your Strain goal. Use Sleep Planner to gently start your day with a haptic Wake Alarm and Strain Target to get a haptic alert once you’ve hit your optimal strain. The vibrations help avoid waking others and ensure your alarm is not disruptive at the gym.
2. Activate Tilt Mode
### Rotate your phone 90°
Get a new view of your WHOOP stats when you turn your phone horizontally. See your heart rate throughout the day, as well as your Sleep, Strain, and Recovery scores at a glance. Plus, if you want to see your WHOOP stats before or mid-journaling, a quick tilt takes you in and out of logging behaviors in Journal. Make sure that your phone has Portrait Orientation Lock off in order to take advantage of this feature.
3. See Your All-Time Stats
### Metrics under “All Time” in your profile
Check out your personal best performance on WHOOP. Under “All Time,” you can view your total number of activities, max heart rate, peak day strain, top activities and their peak strain. You can also see the range for heart rate variability (HRV) and resting heart rate (RHR), as well as all of those same metrics for the last 30 days.
4. Download Health Report
### Visit Health Monitor under the Plan tab
Share a PDF of key health metrics with a doctor, trainer, or other professionals straight from the WHOOP app and showcase a broader picture of your holistic biometrics over time. You can also see 30-day and 180-day changes in your respiratory rate, resting heart rate, sleep duration, and daily aerobic activity. Zoom in to check out your naps, whether activities were moderate or vigorous, and your most frequently logged activities.
5. Broadcast Heart Rate",2/7/23
10-whoop-features-you-need-to-know,10 Hidden WHOOP Features You Need to Know,"Find it in the Settings tab, then tap Device Settings
Display your WHOOP heart rate while you run, spin, cycle, and row on the devices and apps you love, like Peloton, Strava, and Zwift. This feature is also compatible with Concept2, Wahoo, Trainer Road, Run Keeper, and some Garmin smartwatches.
6. CREATE A WHOOP Team
### Go to the Community tab and tap the “…”
Create a WHOOP team with your friends and family to see each other’s Sleep, Strain, and Recovery metrics, as well as chat and celebrate weekly victories. Make it a friendly competition or a healthy way to stay accountable! You can also join tons of existing public teams.
7. See and Celebrate Your Streaks
### Tap the drop-down arrow at the top of Strain, Recovery, & Sleep
Hitting a streak? Under each pillar, you can see when you hit 10+ Strain days, days in the green, yellow, or red, and 70%+ Sleep performance. WHOOP calculates your Strain, Recovery, and Sleep, so you can use this feature to see the impact your day-to-day behaviors actualized with data.
8. Share WHOOP Stats
### Look for the “share” arrow icon
Go beyond a screenshot and share WHOOP stats easily with the in-app share button. This shareable widget includes your daily overview, plus daily and weekly Strain, Recovery, and Sleep. Either share directly within a team or to email, Instagram, and more.
9. Customize Your Journal
### Access it on your home screen
Customize and update your Journal with new behaviors to see how your daily choices affect your Recovery. A behavior must have at least 5 yes responses and at least 5 no responses over a 90-day period. Ready to level up your Journal game? You can self-experiment by noting how new habits like taking magnesium or practicing meditation affect your Recovery in Impacts.
10. See Sleep Need Calculations",2/7/23
10-whoop-features-you-need-to-know,10 Hidden WHOOP Features You Need to Know,"Go to Sleep Planner and tap ‘sleep need’
Ever wonder how your sleep need is calculated? We take into account your baseline sleep need, recent strain, sleep debt, and recent naps. Check out the Sleep Performance feature under Sleep to see how your sleep need and hours of sleep compare to the previous 30 days. To specifically understand what you need for tonight’s sleep, go through the Sleep Planner and tap ‘time in bed.’
We’re continually adding new features to the WHOOP experience, too – keep your eyes peeled for monthly emails sharing the latest and greatest features making their way into the app.",2/7/23
100-million-series-e-funding,WHOOP Raises $100 Million In Series E Funding,"WHOOP has closed a $100 million Series E financing at a $1.2 billion valuation led by IVP. Participating investors include SoftBank Vision Fund 2, Accomplice, Two Sigma Ventures, Collaborative Fund, Thursday Ventures, Nextview Ventures, Promus Ventures, Cavu Ventures, D20 Capital, and LionTree Partners. Professional athletes investing include 2x NBA Finals MVP Kevin Durant (via ThirtyFive Ventures), 11x Pro Bowler Larry Fitzgerald, Super Bowl MVP Patrick Mahomes, 2x Super Bowl MVP Eli Manning, 4x Major Champion Rory McIlroy, and Major Champion Justin Thomas.
This new round of investment follows a period of tremendous growth for the WHOOP membership and overall business, and it will unlock new opportunities for the company. WHOOP will primarily invest these new funds in product and software development, global expansion, and membership services.
“We will continue to make WHOOP the best product experience for measuring and improving health,” said Will Ahmed, WHOOP Founder & CEO. “Human performance is a new category and WHOOP has emerged as both the pioneer and market leader. We’re proud to partner with IVP and other prominent investors who share our vision.”
WHOOP is a monthly subscription for 24/7 health monitoring across sleep, recovery, strain, and more. The WHOOP membership includes free hardware (WHOOP Strap 3.0) and a coaching platform designed to optimize behavior. Studies show that after a year on WHOOP, members experience longer and more consistent sleep, improved physiology, enhanced physical performance, and meaningful lifestyle changes.
“WHOOP has built best-in-class wearable technology and an aspirational brand that have propelled the company to an impressive period of hypergrowth,” said Eric Liaw, General Partner at IVP, who has joined the WHOOP Board of Directors. “We are excited to partner with a strong leadership team as WHOOP continues to revolutionize the market for human performance.”",10/28/20
100-million-series-e-funding,WHOOP Raises $100 Million In Series E Funding,"About IVP
With $7 billion of committed capital, IVP is one of the premier later-stage venture capital and growth equity firms in the United States. Founded in 1980, IVP has invested in over 400 companies with 115 IPOs. IVP is one of the top-performing firms in the industry and has a 39-year IRR of 43.1%. IVP specializes in venture growth investments, industry rollups, founder liquidity transactions, and select public market investments. IVP investments include such notable companies as AppDynamics (CSCO), Coinbase, Compass, CrowdStrike (CRWD), Datadog (DDOG), Discord, Dropbox (DBX), GitHub (MSFT), Glossier, Grammarly, HashiCorp, Hims & Hers, HomeAway (AWAY), The Honest Company, Klarna, LegalZoom, Looker (GOOGL), Marketo (MKTO), MasterClass, Mindbody (Vista), MuleSoft (CRM), Netflix (NFLX), Personal Capital (Empower), Podium, Rubrik, Slack (WORK), Snap (SNAP), Supercell (Tencent), Tanium, TransferWise, Twitter (TWTR), UiPath, Yext (YEXT), ZenDesk (ZEN), ZipRecruiter, and Zynga (ZNGA). For more information, visit www.ivp.com or follow IVP on Twitter: @ivp.",10/28/20
100-million-series-e-funding,WHOOP Raises $100 Million In Series E Funding,"WHOOP has more than 330 employees, including over 200 new hires in 2020, and has raised more than $200 million to date. Learn more about the Series E round and use of capital.",10/28/20
13-tips-to-create-a-nightly-routine-to-sleep-better,13 Tips to Create a Nightly Routine to Sleep Better,"We know kids need bedtime routines to calm them and get them ready for bed, but you may not know adults need wind down time too. A relaxing routine will rest your mind and heart rate so that when you finally go to bed you won’t lie awake trying and failing to sleep. The one or two hours before bed should be your time for activities to prepare yourself for sleep. Here’s a list of soothing activities to try when you’re winding down for the night.",4/13/22
13-tips-to-create-a-nightly-routine-to-sleep-better,13 Tips to Create a Nightly Routine to Sleep Better,"9. Create a pre-bed yoga routine
9. Create a pre-bed yoga routine
A gentle activity such as yoga can calm your mind and heart rate as you prepare for bed. One survey found that most adults reported improved sleep after practicing yoga and 85% said it reduces stress. Try relaxing positions such as child pose, reclined butterfly, or simply sitting cross-legged on the floor (or your bed) in the easy pose and breathing for five minutes to activate the parasympathetic nervous system.
### 10. Music, white or pink noise
10. Music, white or pink noise
A sound machine for white or pink noise frequencies that generate a steady background hum can drown out noises that may keep you awake or jolt you out of sleep. Turn on the sound machine as part of your nightly routine to teach your brain that these sounds mean its bedtime.
### 11. Journal
11. Journal
Writing in a diary the old-fashioned way lets you organize your mind, decrease overthinking and worry, and allows you to fall asleep faster. If you’re prone to staying awake with anxiety, organizing your thoughts on paper may help calm you enough to be able to rest. You can also use journaling to write about positive experiences to redirect your mind as you prepare for sleep.
### 12. Meditate
12. Meditate
Like yoga and journaling, meditation decreases resting heart rate and improves heart rate variability. Meditation also promotes neuroplasticity.",4/13/22
13-tips-to-create-a-nightly-routine-to-sleep-better,13 Tips to Create a Nightly Routine to Sleep Better,"7. Separate work from bed
7. Separate work from bed
The ability to work from anywhere means you can also work at any time. Working remotely often means you have less separation between home and the office, and potentially less separation between work and sleep. This was an issue during the coronavirus pandemic when people who were used to going into work suddenly had to work from home. Nearly one-third of American employees worked remotely during the pandemic, and about 40% of Americans polled reported new sleeping problems in this study.
Avoid working in your bedroom if possible. Maintaining a separate space for sleep lets you mentally associate your bedroom with relaxation and sleep. Additionally, try to stick to a schedule. You are in your work area for a specific time that is separated by at least a couple of hours from bedtime. This gives you a chance to have work, family and wind-down times, and spaces that encroach less on each other.
### 8. Create tech-free time
8. Create tech-free time
Plan some technology-free time before you go to bed. Blue lights from most televisions, computers, and phones inhibit the production of melatonin. It also affects your circadian rhythm, which is one reason blue light and sunlight wake you up in the morning. Some electronics have settings that alter screen temperatures to a warmer color in the evening, but electronics can have other negative effects. Social media can create feelings of anxiety and depression, emotions you don’t necessarily want to feel when you’re trying to sleep.",4/13/22
13-tips-to-create-a-nightly-routine-to-sleep-better,13 Tips to Create a Nightly Routine to Sleep Better,"13. Add in supplements like magnesium or melatonin
13. Add in supplements like magnesium or melatonin
Magnesium can help your body relax by inhibiting the sympathetic branch of your autonomic nervous system. Magnesium deficiencies have been connected to sleep disorders and poor sleep. If you’re not getting enough of it in your diet a magnesium supplement may aid your sleep. WHOOP members average 15 more minutes of sleep per night when they use magnesium, and 2% more REM sleep. They also average an 8% higher recovery the next morning.
Magnesium has a positive effect on time spent asleep, amount of REM sleep, and next day’s recovery.
Melatonin is a widely used sleep supplement. It’s produced naturally in the pineal gland and aids the regulation of your sleep cycle and circadian rhythm. Your melatonin levels are linked to the amount of light around you. Melatonin alerts your systems that it’s time to go to sleep by binding with receptors in your body and brain and telling them to relax. WHOOP members report 34 more minutes of sleep each night when they take melatonin and 2% more REM sleep. They also wake with an 11% higher recovery.
Melatonin does not put you to sleep, but taking the supplement does have a positive impact on your sleep.",4/13/22
